city,state,restaurant_count_x,avg_rating,total_reviews,avg_review_per_restaurant,norm_demand,norm_competition,norm_rating,opportunity_score,sentiment,stars,restaurant_count_y,opportunity_with_sentiment,norm_sentiment,opportunity_with_sentiment_v2,confidence,weighted_sentiment,opportunity_with_sentiment_v3,opportunity_with_sentiment_v4
Edmonton,AB,1550,3.512258064516129,48241,31.1232258064516,0.0952533221078536,0.4319032536711776,0.5971995329916518,-0.2013842216457568,0.5131998557440155,3.489849564641477,2162,0.37929024491452007,0.662491585629186,0.39421941790303716,0.31208925001215115,0.20675650209837346,0.3486459095499559,0.36585750472697054
Sherwood Park,AB,107,3.593457943925232,2058,19.23364485981308,0.0017870369995588,0.0164123236395047,0.678264209727126,-0.1396830205374972,0.533257067158552,3.51613789295226,136,0.48476966636925245,0.7470132439510444,0.5061452840485017,0.06446045160886865,0.048152811062890294,0.4362592407596863,0.4688839737009275
Tucson,AZ,1643,3.460133901399876,192649,117.2544126597687,0.387509764953027,0.4586812553987906,0.5451621597359898,-0.0528819260903216,0.48957640577522815,3.467927027025125,2469,0.4753896018862944,0.5629416967947771,0.4827261309882493,0.6236688284441931,0.35108918852238485,0.4615408801610101,0.4739545343961618
Oro Valley,AZ,62,3.5,7336,118.32258064516132,0.0124687825076804,0.0034552260293694,0.5849618788887909,-0.1117945523327288,0.5130799919621236,3.4848827851821014,80,0.47225132016823185,0.6619864762493803,0.4871419685969575,0.12170272990438773,0.08056556131933572,0.42899987710395304,0.4546660839098725
Carpinteria,CA,58,3.853448275862069,9114,157.1379310344828,0.0160671424003367,0.0023034840195796,0.9378216421541216,-0.1802218024365298,0.5575891867014579,3.7080922139007573,81,0.5490590588552309,0.8495494864898039,0.5782550888340655,0.13565167813726775,0.11524281350299598,0.5048244215353848,0.5365809716295922
Santa Barbara,CA,445,3.915730337078653,127058,285.523595505618,0.2547650946947465,0.1137345234667434,1.0,-0.1067378096926497,0.5915786992684636,3.8200333264138395,766,0.626943550764722,0.9927822574039527,0.6670639065782709,0.5064909223657652,0.5028352012608945,0.6180692009639651,0.6301630484428105
Goleta,CA,116,3.693965517241379,18891,162.85344827586206,0.0358540741610235,0.0190037431615318,0.7786044319002525,-0.1434949722479982,0.5118830397072223,3.5530852274222764,220,0.5155496970667226,0.6569424854659445,0.5300556416425948,0.19529815147359678,0.12829965303596916,0.47719135839959725,0.49900122107734873
Newark,DE,108,3.282407407407406,7955,73.65740740740738,0.0137215298493869,0.0167002591419522,0.3677315910249026,-0.0716956310228726,0.3995027080597345,3.2021800389005888,146,0.4139751232081231,0.183368577443918,0.3923617101465414,0.12673330205532105,0.023238905312654587,0.3763487429334151,0.38387935776681487
Wilmington,DE,438,3.5045662100456623,23975,54.737442922374456,0.0461431977236022,0.1117189749496112,0.5895204859206185,-0.1283481908072059,0.48008048507747947,3.478587633467672,620,0.4508537322964291,0.5229256173868053,0.4551382455273617,0.22001382253303758,0.1150508639817197,0.4143507701868532,0.43129912454420155
New Castle,DE,84,3.291666666666667,2628,31.28571428571429,0.0029406169426488,0.0097898070832133,0.3769754330616653,-0.0768617202659726,0.4057857971745713,3.3117369322584147,102,0.41421297098188575,0.20984569334972836,0.39461896059940144,0.07284224781453552,0.015285631997793942,0.375162954464208,0.3842737067790475
